metabolite,oxygen,treatment,mean,se,name
alanine,21%,None,3.3743717871229535,0.25938067459854897,ALAR
alanine,21%,DMSO,4.730718267822611,0.17443541383380406,ALAR
alanine,21%,BAY,6.059173712078241,0.20427937893698703,ALAR
alanine,0.5%,None,0.6579064970953084,0.5585497434965861,ALAR
aspartate,21%,None,2.304007985179515,0.19901282581835883,ASPR
aspartate,21%,DMSO,1.771108921749795,0.4715509070711864,ASPR
aspartate,21%,BAY,1.4303178527520848,0.22954100250938334,ASPR
aspartate,0.5%,None,0.22274656850956373,0.39834591199800595,ASPR
biomass,21%,None,0.023808151676310816,6.535697989449678e-4,BIOMASS
biomass,21%,DMSO,0.0238713346354735,0.0010777196216280086,BIOMASS
biomass,21%,BAY,0.011663644734133782,0.002486372693785901,BIOMASS
biomass,0.5%,None,0.01679870845925745,7.778090006030017e-4,BIOMASS
biomass,0.5%,DMSO,0.019830844732130513,5.311506456992134e-4,BIOMASS
biomass,0.5%,BAY,0.017940953683000707,4.919690404647969e-4,BIOMASS
biomass,0.2%,None,0.019011981562464184,7.299615117639535e-4,BIOMASS
cystine,21%,None,-4.392713006404131,0.34582385006915395,CYSR
cystine,21%,DMSO,-2.814438724846511,0.3055322159988339,CYSR
cystine,21%,BAY,-0.011450144655361295,0.35220796574072943,CYSR
cystine,0.5%,None,-2.10516718960534,0.2342875499466819,CYSR
glucose,21%,None,-467.14894912151243,34.38764141233298,GLUT
glucose,21%,DMSO,-549.8832505791205,67.4555105759803,GLUT
glucose,21%,BAY,-929.224479371702,68.55662627045542,GLUT
glucose,0.5%,None,-509.2284090291079,25.893016636150065,GLUT
glutamate,21%,None,16.414379070275334,0.8021961077542851,GLUR
glutamate,21%,DMSO,13.179023608787173,0.8120078448437404,GLUR
glutamate,21%,BAY,16.317241684119647,1.115191462961591,GLUR
glutamate,0.5%,None,7.046357337396691,0.4931354288979372,GLUR
glutamine,21%,None,-42.99066822355862,2.7918807659185543,GLNR
glutamine,21%,DMSO,-36.16537393940879,2.275326889860291,GLNR
glutamine,21%,BAY,-17.6776741293151,2.4223190518337105,GLNR
glutamine,0.5%,None,-11.926241048711256,7.526164838279104,GLNR
glycine,21%,None,2.3668517349433045,0.2594932707122298,GLYR
glycine,21%,DMSO,2.8373665282985367,0.3257494318542163,GLYR
glycine,21%,BAY,0.4609845471263725,0.6736544440017209,GLYR
glycine,0.5%,None,0.20984529599869245,0.19371260041724395,GLYR
lactate,21%,None,986.2412912685628,40.779692554705605,MCT
lactate,21%,DMSO,775.2863562371582,79.60465716823799,MCT
lactate,21%,BAY,1257.2482734668336,137.7158403928793,MCT
lactate,0.5%,None,798.19765609362355,58.795256189289574,MCT
pyruvate,21%,None,-76.2112897172896,6.756791849434947,PYRR
pyruvate,21%,DMSO,-78.60907342183832,8.337102701543104,PYRR
pyruvate,21%,BAY,-88.7062150914282,2.8614352804115546,PYRR
pyruvate,0.5%,None,-62.26035523227633,3.4324307852674507,PYRR
serine,21%,None,-12.817524167674886,0.9391330602979959,SERR
serine,21%,DMSO,-9.445521503621901,0.8541646273164704,SERR
serine,21%,BAY,-2.4252717140479456,0.9770628212177618,SERR
serine,0.5%,None,-6.7219528897041005,1.943050030557056,SERR
