tracer,oxygen,treatment,time,metabolite,isotope,mean,se
glc2,21%,None,12,3PG,M0,0.599232491513315,0.0206403629687411
glc2,21%,None,12,3PG,M1,-9.905554820471876e-21,1.5070813424191694e-21
glc2,21%,None,12,3PG,M2,0.4334207906974771,0.020240801645371554
glc2,21%,None,12,3PG,M3,0,0
glc2,21%,None,24,3PG,M0,0.5721293245814756,0.004193012387391498
glc2,21%,None,24,3PG,M1,-1.2083618303574894e-20,9.197335804403973e-23
glc2,21%,None,24,3PG,M2,0.45883737830660426,0.003913223199002804
glc2,21%,None,24,3PG,M3,0,0
glc2,21%,None,36,3PG,M0,0.5754419462908195,0.00564892157746256
glc2,21%,None,36,3PG,M1,-3.974588842345242e-19,3.8553618943132153e-19
glc2,21%,None,36,3PG,M2,0.4555573330583017,0.004610926248464378
glc2,21%,None,36,3PG,M3,0,0
glc2,21%,None,48,3PG,M0,0.545903006469475,0.004494352510446583
glc2,21%,None,48,3PG,M1,-1.2629946949585053e-20,7.164531982919509e-23
glc2,21%,None,48,3PG,M2,0.48395985851434564,0.002951748094813245
glc2,21%,None,48,3PG,M3,0,0
glc2,0.5%,None,12,3PG,M0,0.63827367396338,0.0052532222345361215
glc2,0.5%,None,12,3PG,M1,-1.0774905509482358e-20,2.905745956919843e-22
glc2,0.5%,None,12,3PG,M2,0.39513537724959896,0.005151529040905554
glc2,0.5%,None,12,3PG,M3,0,0
glc2,0.5%,None,24,3PG,M0,0.593393552419999,0.016727065008973845
glc2,0.5%,None,24,3PG,M1,-1.15294993657333e-20,4.032662762436151e-22
glc2,0.5%,None,24,3PG,M2,0.43914669814330065,0.016403258289043775
glc2,0.5%,None,24,3PG,M3,0,0
glc2,0.5%,None,36,3PG,M0,0.5804370017495499,0.011268891170235235
glc2,0.5%,None,36,3PG,M1,-1.110435016353392e-20,8.518464192323308e-22
glc2,0.5%,None,36,3PG,M2,0.45185243265610603,0.011050745148495899
glc2,0.5%,None,36,3PG,M3,0,0
glc2,0.5%,None,48,3PG,M0,0.5724371145574098,0.009378964329626248
glc2,0.5%,None,48,3PG,M1,-7.962523839997701e-21,3.986640575294184e-21
glc2,0.5%,None,48,3PG,M2,0.45969745602544715,0.009197403985699319
glc2,0.5%,None,48,3PG,M3,0,0
glc6,21%,None,12,3PG,M0,0.04575122322471943,0.004208208629089813
glc6,21%,None,12,3PG,M1,-4.167327169975626e-21,6.936632763490175e-22
glc6,21%,None,12,3PG,M2,-6.0233454026972465e-21,6.023345402697247e-21
glc6,21%,None,12,3PG,M3,0.9560560418412044,0.0038029153248237196
glc6,21%,None,24,3PG,M0,0.029489937137730172,0.001280470184055907
glc6,21%,None,24,3PG,M1,-2.403875711777471e-21,2.8435566698704807e-22
glc6,21%,None,24,3PG,M2,0,0
glc6,21%,None,24,3PG,M3,0.9713654993575457,0.00174111826235355
glc6,21%,None,36,3PG,M0,0.015576933998682915,5.012629443418064e-4
glc6,21%,None,36,3PG,M1,-1.253884944555505e-20,1.1800629282407786e-20
glc6,21%,None,36,3PG,M2,0.0015990475929546222,8.683237380670734e-4
glc6,21%,None,36,3PG,M3,0.9811914339669661,0.0017647457613334749
glc6,21%,None,48,3PG,M0,0.010890811559453439,0.004994778302163751
glc6,21%,None,48,3PG,M1,-3.870850250415258e-22,1.9645725877067704e-22
glc6,21%,None,48,3PG,M2,7.789278466586616e-4,7.789278466586616e-4
glc6,21%,None,48,3PG,M3,0.9860238782582706,0.0067998666084812575
glc6,0.5%,None,12,3PG,M0,0.002948160401346107,0.001702870964601393
glc6,0.5%,None,12,3PG,M1,-2.954736954140206e-22,1.706669611647574e-22
glc6,0.5%,None,12,3PG,M2,0,0
glc6,0.5%,None,12,3PG,M3,0.9972082589534681,0.0016125224281062025
glc6,0.5%,None,24,3PG,M0,0.011304821962252463,0.00652750414655357
glc6,0.5%,None,24,3PG,M1,-7.62944089801909e-22,7.62944089801909e-22
glc6,0.5%,None,24,3PG,M2,0,0
glc6,0.5%,None,24,3PG,M3,0.9892949734073675,0.0061811769973644255
glc6,0.5%,None,36,3PG,M0,0.0018802559221895545,0.0018802559221895547
glc6,0.5%,None,36,3PG,M1,-1.8844502673592142e-22,1.8844502673592142e-22
glc6,0.5%,None,36,3PG,M2,0,0
glc6,0.5%,None,36,3PG,M3,0.9982195040563042,0.0017804959436958183
glc6,0.5%,None,48,3PG,M0,0.009446692644937223,0.009446692644937223
glc6,0.5%,None,48,3PG,M1,-1.1465696980742775e-20,1.1465696980742775e-20
glc6,0.5%,None,48,3PG,M2,0,0
glc6,0.5%,None,48,3PG,M3,0.9910545167085206,0.008945483291479409
lac3,21%,None,12,3PG,M0,1,0
lac3,21%,None,12,3PG,M1,-5.169762500077174e-20,2.2153963359803488e-20
lac3,21%,None,12,3PG,M2,0,0
lac3,21%,None,12,3PG,M3,0.014199361413998803,0.005684920787501899
lac3,21%,None,24,3PG,M0,1,0
lac3,21%,None,24,3PG,M1,-1.0147270122550897e-19,4.35039307230427e-22
lac3,21%,None,24,3PG,M2,-1.264530276472699e-22,6.82243168705522e-23
lac3,21%,None,24,3PG,M3,0.038725316687176374,0.0037969860228297433
lac3,21%,None,36,3PG,M0,0.9993512424024897,3.780881659309142e-4
lac3,21%,None,36,3PG,M1,-1.0173516685556251e-19,8.315561180306315e-22
lac3,21%,None,36,3PG,M2,-8.486601577507018e-23,5.84849927640049e-23
lac3,21%,None,36,3PG,M3,0.03987946616502082,0.0032294474177694847
lac3,21%,None,48,3PG,M0,1,0
lac3,21%,None,48,3PG,M1,-1.0271827467422375e-19,2.4293413225423648e-22
lac3,21%,None,48,3PG,M2,0,0
lac3,21%,None,48,3PG,M3,0.026928002050445026,0.0025167125128038735
lac3,0.5%,None,12,3PG,M0,1,0
lac3,0.5%,None,12,3PG,M1,0,0
lac3,0.5%,None,12,3PG,M2,0,0
lac3,0.5%,None,12,3PG,M3,0,0
lac3,0.5%,None,24,3PG,M0,1,0
lac3,0.5%,None,24,3PG,M1,0,0
lac3,0.5%,None,24,3PG,M2,0,0
lac3,0.5%,None,24,3PG,M3,0.00132437444502466,0.00132437444502466
lac3,0.5%,None,36,3PG,M0,1,0
lac3,0.5%,None,36,3PG,M1,-1.1552406166433215e-20,1.1552406166433217e-20
lac3,0.5%,None,36,3PG,M2,0,0
lac3,0.5%,None,36,3PG,M3,0.0019931612296621216,0.001993161229662122
lac3,0.5%,None,48,3PG,M0,1,0
lac3,0.5%,None,48,3PG,M1,-2.108282555005855e-20,1.0665602226615127e-20
lac3,0.5%,None,48,3PG,M2,3.854941057726238e-19,3.8549410577262383e-19
lac3,0.5%,None,48,3PG,M3,0.01087979446373532,0.006036866877347345
q5,21%,None,12,3PG,M0,1,0
q5,21%,None,12,3PG,M1,0,0
q5,21%,None,12,3PG,M2,0,0
q5,21%,None,12,3PG,M3,0,0
q5,21%,None,24,3PG,M0,1,0
q5,21%,None,24,3PG,M1,0,0
q5,21%,None,24,3PG,M2,0,0
q5,21%,None,24,3PG,M3,0,0
q5,21%,None,36,3PG,M0,1,0
q5,21%,None,36,3PG,M1,0,0
q5,21%,None,36,3PG,M2,0,0
q5,21%,None,36,3PG,M3,0,0
q5,21%,None,48,3PG,M0,1,0
q5,21%,None,48,3PG,M1,0,0
q5,21%,None,48,3PG,M2,0,0
q5,21%,None,48,3PG,M3,0,0
q5,0.5%,None,12,3PG,M0,1,0
q5,0.5%,None,12,3PG,M1,0,0
q5,0.5%,None,12,3PG,M2,0,0
q5,0.5%,None,12,3PG,M3,0,0
q5,0.5%,None,24,3PG,M0,1,0
q5,0.5%,None,24,3PG,M1,0,0
q5,0.5%,None,24,3PG,M2,0,0
q5,0.5%,None,24,3PG,M3,0,0
q5,0.5%,None,36,3PG,M0,1,0
q5,0.5%,None,36,3PG,M1,0,0
q5,0.5%,None,36,3PG,M2,0,0
q5,0.5%,None,36,3PG,M3,0,0
q5,0.5%,None,48,3PG,M0,1,0
q5,0.5%,None,48,3PG,M1,0,0
q5,0.5%,None,48,3PG,M2,0,0
q5,0.5%,None,48,3PG,M3,0,0
glc2,21%,None,12,AKG,M0,0.9298527936016945,0.0020288080954567102
glc2,21%,None,12,AKG,M1,0.003826300004616979,2.1408314967445008e-4
glc2,21%,None,12,AKG,M2,0.0584708684234452,0.0016299746693375712
glc2,21%,None,12,AKG,M3,3.544660777690012e-4,1.0973901386405164e-4
glc2,21%,None,12,AKG,M4,0.005519964098376021,5.968981603295904e-4
glc2,21%,None,12,AKG,M5,0.0020128987481889088,3.300576585356778e-5
glc2,21%,None,24,AKG,M0,0.8875453507226442,0.0014952268834579029
glc2,21%,None,24,AKG,M1,0.00916700260844835,1.5147309342419457e-4
glc2,21%,None,24,AKG,M2,0.08696092610831023,0.0020738622649925536
glc2,21%,None,24,AKG,M3,0.0033333765891421763,1.2070743502175505e-4
glc2,21%,None,24,AKG,M4,0.009684145506675294,1.3815608589384822e-4
glc2,21%,None,24,AKG,M5,0.001983233214027963,4.6402566586272386e-4
glc2,21%,None,36,AKG,M0,0.8635143534380948,0.0033137824171471575
glc2,21%,None,36,AKG,M1,0.010287584378022,5.790991034597532e-4
glc2,21%,None,36,AKG,M2,0.1064371144819311,0.0028099219912531372
glc2,21%,None,36,AKG,M3,0.005318767963201043,6.0147986626062735e-5
glc2,21%,None,36,AKG,M4,0.013293886526078267,1.9674408720177705e-4
glc2,21%,None,36,AKG,M5,0.0021293425373870183,2.54291985623387e-4
glc2,21%,None,48,AKG,M0,0.8427313493783481,0.002130087972654627
glc2,21%,None,48,AKG,M1,0.011169030749615314,2.4651454169719137e-4
glc2,21%,None,48,AKG,M2,0.12211692562134464,0.0015399309920126072
glc2,21%,None,48,AKG,M3,0.00644061175673608,5.702166375689566e-5
glc2,21%,None,48,AKG,M4,0.015525373856390183,3.138934148744322e-4
glc2,21%,None,48,AKG,M5,0.0017376670428648586,1.107248665557221e-4
glc2,0.5%,None,12,AKG,M0,0.9020768887700785,0.002780610190909645
glc2,0.5%,None,12,AKG,M1,0.0028359653383137912,3.640018905508924e-4
glc2,0.5%,None,12,AKG,M2,0.08592673583427896,0.0029860779028567045
glc2,0.5%,None,12,AKG,M3,7.643257770216498e-5,7.51496186433032e-5
glc2,0.5%,None,12,AKG,M4,0.0071041691643864025,4.548732475950714e-4
glc2,0.5%,None,12,AKG,M5,0.0029376401649985505,1.5970956226730564e-4
glc2,0.5%,None,24,AKG,M0,0.8853876423630452,0.011486669332514214
glc2,0.5%,None,24,AKG,M1,0.002251590457699585,5.47947292961023e-4
glc2,0.5%,None,24,AKG,M2,0.09800993265110694,0.009304307593663151
glc2,0.5%,None,24,AKG,M3,3.2923912473299655e-4,1.2847212879863663e-4
glc2,0.5%,None,24,AKG,M4,0.009567465703618123,6.13261450381691e-4
glc2,0.5%,None,24,AKG,M5,0.0018632580320954329,3.552675428469421e-4
glc2,0.5%,None,36,AKG,M0,0.8913226434367627,0.008156696959588984
glc2,0.5%,None,36,AKG,M1,0.004745429425289902,1.5684616502910056e-4
glc2,0.5%,None,36,AKG,M2,0.09931233141969524,0.003025905361606077
glc2,0.5%,None,36,AKG,M3,6.8483001959098e-4,2.651017938630038e-4
glc2,0.5%,None,36,AKG,M4,0.010556421435925108,6.286346131304249e-4
glc2,0.5%,None,36,AKG,M5,9.573916992752724e-4,3.5161035065737795e-4
glc2,0.5%,None,48,AKG,M0,0.8934904760293084,0.005097933842389213
glc2,0.5%,None,48,AKG,M1,0.002696206442780378,9.652843193442871e-4
glc2,0.5%,None,48,AKG,M2,0.09221691134818344,0.003971602068686781
glc2,0.5%,None,48,AKG,M3,5.9952782297854e-4,3.4676703529974056e-4
glc2,0.5%,None,48,AKG,M4,0.009817002575706177,6.370511363646202e-4
glc2,0.5%,None,48,AKG,M5,5.119233511798052e-4,3.017815010838969e-4
glc6,21%,None,12,AKG,M0,0.8447520890729594,0.0026167469654577767
glc6,21%,None,12,AKG,M1,0.006033308447522098,3.4137955798950876e-4
glc6,21%,None,12,AKG,M2,0.10589287089246399,0.002728219586138179
glc6,21%,None,12,AKG,M3,0.013105076975434012,3.182342762530455e-4
glc6,21%,None,12,AKG,M4,0.016709506766474938,0.0012875742325746764
glc6,21%,None,12,AKG,M5,0.015233067574603134,9.009643002505356e-4
glc6,21%,None,24,AKG,M0,0.7833736065188455,0.005405710853852412
glc6,21%,None,24,AKG,M1,0.007838648020339746,2.4004673663332465e-4
glc6,21%,None,24,AKG,M2,0.14337931803372927,0.0035028560011238
glc6,21%,None,24,AKG,M3,0.018048020612277352,6.394296875535922e-4
glc6,21%,None,24,AKG,M4,0.028915400777348565,2.5887334846768864e-4
glc6,21%,None,24,AKG,M5,0.02061099518346338,5.368602600539925e-4
glc6,21%,None,36,AKG,M0,0.7344957687435122,0.005499115585950627
glc6,21%,None,36,AKG,M1,0.008005706350174365,5.647584783781495e-4
glc6,21%,None,36,AKG,M2,0.16896144310731026,0.004118860519892393
glc6,21%,None,36,AKG,M3,0.02211218392251365,3.2188244412690583e-4
glc6,21%,None,36,AKG,M4,0.03925609871415518,8.089123353084527e-4
glc6,21%,None,36,AKG,M5,0.027168799162334265,4.437753355434148e-4
glc6,21%,None,48,AKG,M0,0.70341679508331445,0.004133831846355381
glc6,21%,None,48,AKG,M1,0.008311336071568027,3.529710025815588e-4
glc6,21%,None,48,AKG,M2,0.181295448158146,0.0020209874666136233
glc6,21%,None,48,AKG,M3,0.024913446509990216,7.354074113749007e-5
glc6,21%,None,48,AKG,M4,0.04679270192830297,8.936178445286298e-4
glc6,21%,None,48,AKG,M5,0.03121853587178674,4.29882107741161e-4
glc6,0.5%,None,12,AKG,M0,0.7970164069522312,0.002899851292906344
glc6,0.5%,None,12,AKG,M1,0.002862617886838483,8.715856042712794e-4
glc6,0.5%,None,12,AKG,M2,0.13362386840977056,0.002723316495482407
glc6,0.5%,None,12,AKG,M3,0.024336771589109334,4.1576923265855466e-4
glc6,0.5%,None,12,AKG,M4,0.021103198095691705,6.06661761495335e-4
glc6,0.5%,None,12,AKG,M5,0.019902974605886886,7.431310154408934e-4
glc6,0.5%,None,24,AKG,M0,0.7750571402659789,0.01962588970984159
glc6,0.5%,None,24,AKG,M1,0.0037633613773031048,0.0012272834037427263
glc6,0.5%,None,24,AKG,M2,0.1475250832805031,0.011747956543593969
glc6,0.5%,None,24,AKG,M3,0.019123556952055084,0.002740208125324314
glc6,0.5%,None,24,AKG,M4,0.02648915869918283,0.0012125296410301911
glc6,0.5%,None,24,AKG,M5,0.025878899645546762,0.0017491765909322685
glc6,0.5%,None,36,AKG,M0,0.7683774069131544,0.00798110843617384
glc6,0.5%,None,36,AKG,M1,0.0038729560512749967,1.6068364512428988e-4
glc6,0.5%,None,36,AKG,M2,0.15800424879204641,0.0046134870880745445
glc6,0.5%,None,36,AKG,M3,0.013556314565333924,0.0015331326723884522
glc6,0.5%,None,36,AKG,M4,0.027505726767249907,0.001604106427656032
glc6,0.5%,None,36,AKG,M5,0.02521580741134734,9.704621235521166e-4
glc6,0.5%,None,48,AKG,M0,0.78408185878009,0.007763940353888473
glc6,0.5%,None,48,AKG,M1,0.003193604671540182,6.548845091747729e-4
glc6,0.5%,None,48,AKG,M2,0.15088650733598255,0.005194915353206169
glc6,0.5%,None,48,AKG,M3,0.01152668747152052,0.0011169171811048798
glc6,0.5%,None,48,AKG,M4,0.025813639022398117,7.907581671116173e-4
glc6,0.5%,None,48,AKG,M5,0.024497702718468486,3.566671523331582e-4
lac3,21%,None,12,AKG,M0,0.8710647199613403,0.007152356847920331
lac3,21%,None,12,AKG,M1,0.006258293757344915,0.00046259143228374557
lac3,21%,None,12,AKG,M2,0.10147902212153463,0.01006764937184783
lac3,21%,None,12,AKG,M3,0.009883778286314407,6.041672412157148e-4
lac3,21%,None,12,AKG,M4,0.008872791832993405,8.390391361111394e-4
lac3,21%,None,12,AKG,M5,0.013038957334147668,0.0018306748271115021
lac3,21%,None,24,AKG,M0,0.8251759504870473,0.003654458237561843
lac3,21%,None,24,AKG,M1,0.008286849948620799,3.071360265902276e-4
lac3,21%,None,24,AKG,M2,0.12621424331594538,0.002937346232715057
lac3,21%,None,24,AKG,M3,0.014201236657678383,4.894904499811074e-4
lac3,21%,None,24,AKG,M4,0.014257733965088523,1.893838180980289e-4
lac3,21%,None,24,AKG,M5,0.011236014753771928,9.022675294680186e-4
lac3,21%,None,36,AKG,M0,0.8184067442665254,0.004456515625138196
lac3,21%,None,36,AKG,M1,0.00910651466729612,9.244037004021436e-4
